Distance,Method,Success,Confidence
1.0,Standard (No DAE),1,0.9481506943702698
1.0,DAE Filter (With DAE),1,0.9672093987464905
1.0,Standard (No DAE),1,0.9545179009437561
1.0,DAE Filter (With DAE),1,0.964381992816925
1.0,Standard (No DAE),1,0.9506248831748962
1.0,DAE Filter (With DAE),1,0.9646838903427124
1.0,Standard (No DAE),1,0.947048008441925
1.0,DAE Filter (With DAE),1,0.9620660543441772
1.0,Standard (No DAE),1,0.9433755874633789
1.0,DAE Filter (With DAE),1,0.9604412913322449
1.0,Standard (No DAE),1,0.9498902559280396
1.0,DAE Filter (With DAE),1,0.9654742479324341
1.0,Standard (No DAE),1,0.9481049180030823
1.0,DAE Filter (With DAE),1,0.9625214338302612
1.0,Standard (No DAE),1,0.9556639194488525
1.0,DAE Filter (With DAE),1,0.9685993790626526
1.0,Standard (No DAE),1,0.9386687874794006
1.0,DAE Filter (With DAE),1,0.9483529329299927
1.0,Standard (No DAE),1,0.9567301273345947
1.0,DAE Filter (With DAE),1,0.9693163633346558
1.5,Standard (No DAE),1,0.8152058124542236
1.5,DAE Filter (With DAE),1,0.8558679819107056
1.5,Standard (No DAE),1,0.8299216628074646
1.5,DAE Filter (With DAE),1,0.874397873878479
1.5,Standard (No DAE),1,0.7731229066848755
1.5,DAE Filter (With DAE),1,0.8467035293579102
1.5,Standard (No DAE),1,0.8013740181922913
1.5,DAE Filter (With DAE),1,0.8439788818359375
1.5,Standard (No DAE),1,0.7751813530921936
1.5,DAE Filter (With DAE),1,0.849048376083374
1.5,Standard (No DAE),1,0.7744860649108887
1.5,DAE Filter (With DAE),1,0.8436756730079651
1.5,Standard (No DAE),1,0.7967429757118225
1.5,DAE Filter (With DAE),1,0.8542988300323486
1.5,Standard (No DAE),1,0.7785059809684753
1.5,DAE Filter (With DAE),1,0.8287954330444336
1.5,Standard (No DAE),1,0.771938145160675
1.5,DAE Filter (With DAE),1,0.8445813655853271
1.5,Standard (No DAE),1,0.8057700395584106
1.5,DAE Filter (With DAE),1,0.8572465181350708
2.0,Standard (No DAE),1,0.626328706741333
2.0,DAE Filter (With DAE),1,0.685949444770813
2.0,Standard (No DAE),1,0.5491837859153748
2.0,DAE Filter (With DAE),1,0.6427225470542908
2.0,Standard (No DAE),1,0.5833742022514343
2.0,DAE Filter (With DAE),1,0.6643369793891907
2.0,Standard (No DAE),1,0.6397306323051453
2.0,DAE Filter (With DAE),1,0.7257378101348877
2.0,Standard (No DAE),1,0.6148742437362671
2.0,DAE Filter (With DAE),1,0.7054781317710876
2.0,Standard (No DAE),1,0.5710848569869995
2.0,DAE Filter (With DAE),1,0.6584830284118652
2.0,Standard (No DAE),1,0.6120744347572327
2.0,DAE Filter (With DAE),1,0.6762381792068481
2.0,Standard (No DAE),1,0.6726855635643005
2.0,DAE Filter (With DAE),1,0.7410368323326111
2.0,Standard (No DAE),1,0.6277803182601929
2.0,DAE Filter (With DAE),1,0.7198566198348999
2.0,Standard (No DAE),1,0.6131429672241211
2.0,DAE Filter (With DAE),1,0.6803167462348938
2.5,Standard (No DAE),1,0.47600358724594116
2.5,DAE Filter (With DAE),1,0.5772279500961304
2.5,Standard (No DAE),1,0.4583575129508972
2.5,DAE Filter (With DAE),1,0.5357502102851868
2.5,Standard (No DAE),1,0.39070141315460205
2.5,DAE Filter (With DAE),1,0.4691717028617859
2.5,Standard (No DAE),1,0.4240685701370239
2.5,DAE Filter (With DAE),1,0.5288676619529724
2.5,Standard (No DAE),1,0.46755170822143555
2.5,DAE Filter (With DAE),1,0.5469498038291931
2.5,Standard (No DAE),1,0.3711880147457123
2.5,DAE Filter (With DAE),1,0.4530543386936188
2.5,Standard (No DAE),1,0.4701469838619232
2.5,DAE Filter (With DAE),1,0.578708827495575
2.5,Standard (No DAE),1,0.4837070107460022
2.5,DAE Filter (With DAE),1,0.5698134899139404
2.5,Standard (No DAE),1,0.43234995007514954
2.5,DAE Filter (With DAE),1,0.4755096733570099
2.5,Standard (No DAE),1,0.4278167486190796
2.5,DAE Filter (With DAE),1,0.5016663074493408
3.0,Standard (No DAE),1,0.2754381597042084
3.0,DAE Filter (With DAE),1,0.33554479479789734
3.0,Standard (No DAE),1,0.25855809450149536
3.0,DAE Filter (With DAE),1,0.31408360600471497
3.0,Standard (No DAE),1,0.2888635993003845
3.0,DAE Filter (With DAE),1,0.3688237965106964
3.0,Standard (No DAE),1,0.22846627235412598
3.0,DAE Filter (With DAE),1,0.2831740379333496
3.0,Standard (No DAE),1,0.3730064332485199
3.0,DAE Filter (With DAE),1,0.45900362730026245
3.0,Standard (No DAE),1,0.3687698543071747
3.0,DAE Filter (With DAE),1,0.42297065258026123
3.0,Standard (No DAE),1,0.3579416871070862
3.0,DAE Filter (With DAE),1,0.39416128396987915
3.0,Standard (No DAE),1,0.38013121485710144
3.0,DAE Filter (With DAE),1,0.44429218769073486
3.0,Standard (No DAE),1,0.3277765214443207
3.0,DAE Filter (With DAE),1,0.3842090666294098
3.0,Standard (No DAE),1,0.31474804878234863
3.0,DAE Filter (With DAE),1,0.3801319897174835
3.5,Standard (No DAE),1,0.2033897191286087
3.5,DAE Filter (With DAE),1,0.24365243315696716
3.5,Standard (No DAE),1,0.13531188666820526
3.5,DAE Filter (With DAE),1,0.17251428961753845
3.5,Standard (No DAE),1,0.1074899211525917
3.5,DAE Filter (With DAE),1,0.12734898924827576
3.5,Standard (No DAE),1,0.20117512345314026
3.5,DAE Filter (With DAE),1,0.2221868932247162
3.5,Standard (No DAE),1,0.18698342144489288
3.5,DAE Filter (With DAE),1,0.21953046321868896
3.5,Standard (No DAE),1,0.2307942658662796
3.5,DAE Filter (With DAE),1,0.2858852744102478
3.5,Standard (No DAE),1,0.16349901258945465
3.5,DAE Filter (With DAE),1,0.18659870326519012
3.5,Standard (No DAE),1,0.32896608114242554
3.5,DAE Filter (With DAE),1,0.39303919672966003
3.5,Standard (No DAE),1,0.3458988666534424
3.5,DAE Filter (With DAE),1,0.41260063648223877
3.5,Standard (No DAE),1,0.281331866979599
3.5,DAE Filter (With DAE),1,0.3785703182220459
4.0,Standard (No DAE),1,0.1313815712928772
4.0,DAE Filter (With DAE),1,0.16203320026397705
4.0,Standard (No DAE),1,0.15440404415130615
4.0,DAE Filter (With DAE),1,0.20413656532764435
4.0,Standard (No DAE),1,0.27264389395713806
4.0,DAE Filter (With DAE),1,0.3433544635772705
4.0,Standard (No DAE),0,0.14115098118782043
4.0,DAE Filter (With DAE),0,0.17447970807552338
4.0,Standard (No DAE),1,0.21983739733695984
4.0,DAE Filter (With DAE),1,0.2767508327960968
4.0,Standard (No DAE),1,0.21120727062225342
4.0,DAE Filter (With DAE),1,0.25418782234191895
4.0,Standard (No DAE),1,0.20357587933540344
4.0,DAE Filter (With DAE),1,0.24130868911743164
4.0,Standard (No DAE),1,0.21469877660274506
4.0,DAE Filter (With DAE),1,0.2509748041629791
4.0,Standard (No DAE),0,0.1549353152513504
4.0,DAE Filter (With DAE),0,0.17656540870666504
4.0,Standard (No DAE),1,0.16425339877605438
4.0,DAE Filter (With DAE),1,0.19781795144081116
4.5,Standard (No DAE),1,0.22972439229488373
4.5,DAE Filter (With DAE),1,0.26696231961250305
4.5,Standard (No DAE),0,0.21203991770744324
4.5,DAE Filter (With DAE),0,0.2685229182243347
4.5,Standard (No DAE),0,0.10922744870185852
4.5,DAE Filter (With DAE),0,0.14852070808410645
4.5,Standard (No DAE),1,0.13680505752563477
4.5,DAE Filter (With DAE),1,0.1663866937160492
4.5,Standard (No DAE),0,0.15224550664424896
4.5,DAE Filter (With DAE),0,0.2038237452507019
4.5,Standard (No DAE),1,0.19053928554058075
4.5,DAE Filter (With DAE),1,0.2278427928686142
4.5,Standard (No DAE),1,0.1779024302959442
4.5,DAE Filter (With DAE),1,0.19746872782707214
4.5,Standard (No DAE),1,0.15405553579330444
4.5,DAE Filter (With DAE),1,0.21012446284294128
4.5,Standard (No DAE),1,0.15958021581172943
4.5,DAE Filter (With DAE),1,0.20142070949077606
4.5,Standard (No DAE),0,0.14465205371379852
4.5,DAE Filter (With DAE),0,0.20167377591133118
5.0,Standard (No DAE),0,0.11258333176374435
5.0,DAE Filter (With DAE),0,0.1332850456237793
5.0,Standard (No DAE),0,0.12438349425792694
5.0,DAE Filter (With DAE),0,0.17526695132255554
5.0,Standard (No DAE),0,0.10517745465040207
5.0,DAE Filter (With DAE),0,0.14544017612934113
5.0,Standard (No DAE),0,0.12700144946575165
5.0,DAE Filter (With DAE),0,0.16154900193214417
5.0,Standard (No DAE),1,0.17576321959495544
5.0,DAE Filter (With DAE),1,0.24911560118198395
5.0,Standard (No DAE),0,0.10831411927938461
5.0,DAE Filter (With DAE),1,0.1251799762248993
5.0,Standard (No DAE),0,0.09015097469091415
5.0,DAE Filter (With DAE),0,0.11112386733293533
5.0,Standard (No DAE),0,0.13646157085895538
5.0,DAE Filter (With DAE),0,0.1637607365846634
5.0,Standard (No DAE),0,0.13131941854953766
5.0,DAE Filter (With DAE),0,0.15725243091583252
5.0,Standard (No DAE),1,0.07897248864173889
5.0,DAE Filter (With DAE),1,0.10147795081138611
5.5,Standard (No DAE),1,0.1376509964466095
5.5,DAE Filter (With DAE),0,0.1650732457637787
5.5,Standard (No DAE),1,0.1671939492225647
5.5,DAE Filter (With DAE),1,0.20966385304927826
5.5,Standard (No DAE),0,0.11836064606904984
5.5,DAE Filter (With DAE),0,0.15466900169849396
5.5,Standard (No DAE),1,0.1613435447216034
5.5,DAE Filter (With DAE),1,0.19403120875358582
5.5,Standard (No DAE),1,0.13642168045043945
5.5,DAE Filter (With DAE),1,0.1550343930721283
5.5,Standard (No DAE),0,0.140423983335495
5.5,DAE Filter (With DAE),1,0.2023552656173706
5.5,Standard (No DAE),0,0.16605930030345917
5.5,DAE Filter (With DAE),0,0.2394416630268097
5.5,Standard (No DAE),0,0.11283837258815765
5.5,DAE Filter (With DAE),0,0.14935502409934998
5.5,Standard (No DAE),1,0.15561625361442566
5.5,DAE Filter (With DAE),1,0.18864718079566956
5.5,Standard (No DAE),1,0.09214095771312714
5.5,DAE Filter (With DAE),1,0.1361379325389862
6.0,Standard (No DAE),1,0.18556272983551025
6.0,DAE Filter (With DAE),1,0.23827385902404785
6.0,Standard (No DAE),0,0.09995417296886444
6.0,DAE Filter (With DAE),0,0.12932516634464264
6.0,Standard (No DAE),0,0.09722435474395752
6.0,DAE Filter (With DAE),0,0.11492672562599182
6.0,Standard (No DAE),0,0.10031244158744812
6.0,DAE Filter (With DAE),0,0.13475053012371063
6.0,Standard (No DAE),0,0.139931783080101
6.0,DAE Filter (With DAE),0,0.1828596144914627
6.0,Standard (No DAE),0,0.14973410964012146
6.0,DAE Filter (With DAE),0,0.1712186336517334
6.0,Standard (No DAE),1,0.19144998490810394
6.0,DAE Filter (With DAE),1,0.22184628248214722
6.0,Standard (No DAE),0,0.18260402977466583
6.0,DAE Filter (With DAE),0,0.22443650662899017
6.0,Standard (No DAE),0,0.15346719324588776
6.0,DAE Filter (With DAE),0,0.19539353251457214
6.0,Standard (No DAE),0,0.12793932855129242
6.0,DAE Filter (With DAE),0,0.1407201886177063
6.5,Standard (No DAE),0,0.12544392049312592
6.5,DAE Filter (With DAE),1,0.160010427236557
6.5,Standard (No DAE),0,0.10248726606369019
6.5,DAE Filter (With DAE),0,0.11923322826623917
6.5,Standard (No DAE),0,0.146844282746315
6.5,DAE Filter (With DAE),0,0.20625098049640656
6.5,Standard (No DAE),0,0.1179274320602417
6.5,DAE Filter (With DAE),0,0.16625681519508362
6.5,Standard (No DAE),0,0.13296790421009064
6.5,DAE Filter (With DAE),0,0.15848085284233093
6.5,Standard (No DAE),0,0.12012812495231628
6.5,DAE Filter (With DAE),1,0.16137626767158508
6.5,Standard (No DAE),0,0.11857645958662033
6.5,DAE Filter (With DAE),0,0.16244234144687653
6.5,Standard (No DAE),0,0.12626032531261444
6.5,DAE Filter (With DAE),0,0.13854585587978363
6.5,Standard (No DAE),0,0.1383066177368164
6.5,DAE Filter (With DAE),0,0.18587957322597504
6.5,Standard (No DAE),0,0.14651751518249512
6.5,DAE Filter (With DAE),0,0.1729244440793991
7.0,Standard (No DAE),0,0.16170772910118103
7.0,DAE Filter (With DAE),0,0.2220732569694519
7.0,Standard (No DAE),0,0.09119449555873871
7.0,DAE Filter (With DAE),0,0.11442124843597412
7.0,Standard (No DAE),0,0.11228962242603302
7.0,DAE Filter (With DAE),0,0.14578041434288025
7.0,Standard (No DAE),0,0.11966191977262497
7.0,DAE Filter (With DAE),0,0.16013474762439728
7.0,Standard (No DAE),0,0.08253476768732071
7.0,DAE Filter (With DAE),0,0.11110109835863113
7.0,Standard (No DAE),0,0.16426929831504822
7.0,DAE Filter (With DAE),0,0.19458487629890442
7.0,Standard (No DAE),0,0.0964999794960022
7.0,DAE Filter (With DAE),0,0.11465760320425034
7.0,Standard (No DAE),0,0.12666022777557373
7.0,DAE Filter (With DAE),0,0.1435200572013855
7.0,Standard (No DAE),0,0.12657977640628815
7.0,DAE Filter (With DAE),1,0.16215749084949493
7.0,Standard (No DAE),0,0.1198679506778717
7.0,DAE Filter (With DAE),0,0.14142028987407684
